date,platform,sentiment,keyword,share_of_voice,influencer,engagement
2024-02-24,Instagram,Neutral,#bad,68,Chelsey Ramirez,549
2024-01-14,Facebook,Neutral,#terrible,14,Paige Johnson,224
2024-02-10,Twitter,Negative,experience,26,Andrew Nguyen,599
2024-02-28,Twitter,Negative,experience,32,Thomas Allen,72
2024-03-28,Facebook,Positive,experience,66,Erin Guerrero,106
2024-04-15,LinkedIn,Positive,#great,88,Amanda Mcdonald,713
2024-03-24,LinkedIn,Neutral,#great,17,Ronnie Flores,165
2024-04-17,LinkedIn,Positive,service,35,Michelle Herrera,359
2024-02-10,Twitter,Negative,experience,20,Valerie Jimenez,132
2024-02-04,Facebook,Negative,#awesome,55,Christy Nguyen,143
2024-04-08,Facebook,Positive,#terrible,45,John Wilson,510
2024-01-09,LinkedIn,Negative,product,52,Holly Barrera,439
2024-02-12,Twitter,Negative,#good,86,Michael Townsend,680
2024-04-08,Facebook,Negative,experience,50,Ricky Stevens,212
2024-02-24,LinkedIn,Neutral,#awesome,66,Kayla Cooper,224
2024-05-01,LinkedIn,Positive,feedback,50,Jose Smith,669
2024-02-10,LinkedIn,Positive,service,97,Louis Owen,151
2024-02-04,Twitter,Neutral,#awesome,35,Geoffrey Ferguson,159
2024-01-22,Instagram,Positive,#terrible,98,Regina Rivera,867
2024-04-03,Twitter,Negative,#bad,26,David Wells,534
2024-05-21,LinkedIn,Neutral,service,57,Phillip Curtis,74
2024-01-29,Twitter,Negative,feedback,69,Daniel Brown,540
2024-04-21,Instagram,Positive,service,6,Donald Johnson,964
2024-05-16,Twitter,Negative,#awesome,13,Cindy Spencer,980
2024-04-13,LinkedIn,Positive,#terrible,99,Martin Powell,248
2024-01-24,Instagram,Negative,#awesome,93,Angela Smith,616
2024-04-08,Facebook,Neutral,product,34,Cathy Cardenas,367
2024-05-09,Twitter,Negative,#awesome,1,Katherine Chavez,427
2024-04-15,Twitter,Positive,#great,46,Taylor Martinez,584
2024-02-26,LinkedIn,Positive,#good,91,Brian Burke,79
2024-01-25,Instagram,Neutral,#good,93,Brad Payne,727
2024-03-03,Twitter,Positive,#okay,76,Daniel Henry,290
2024-01-12,Instagram,Neutral,#good,75,Laura Gallegos,659
2024-03-18,Twitter,Neutral,#okay,80,Wyatt Jacobs,565
2024-05-14,Instagram,Neutral,#bad,93,Lisa Thomas,235
2024-01-01,Facebook,Positive,#terrible,54,Walter Miller,363
2024-02-25,Facebook,Neutral,#good,69,Anne Johnson,264
2024-04-02,Twitter,Neutral,#bad,7,Jacob Gutierrez,81
2024-02-28,LinkedIn,Neutral,#awesome,27,Judith Benitez,713
2024-03-16,LinkedIn,Positive,#awesome,82,Bonnie Williams,171
2024-02-21,Twitter,Neutral,feedback,51,Rebecca Garcia,956
2024-03-09,LinkedIn,Negative,experience,61,Jeanette Livingston,596
2024-04-22,Facebook,Positive,#bad,60,Dr. Rachel Thompson,644
2024-03-18,Instagram,Negative,service,2,Joshua Best,636
2024-04-18,LinkedIn,Neutral,experience,10,Jean Stevens,511
2024-04-03,LinkedIn,Positive,experience,65,Joseph Byrd,702
2024-02-07,Facebook,Neutral,product,40,Kara Burke,830
2024-03-01,LinkedIn,Negative,#okay,37,Steven Ross,644
2024-01-25,Twitter,Negative,feedback,43,Amy Brady,574
2024-01-06,Instagram,Negative,#bad,40,Christian Hoffman,870
2024-05-06,Twitter,Negative,#good,47,James Bonilla,999
2024-05-12,Instagram,Negative,#terrible,76,Dr. Rachel Brown MD,312
2024-02-14,LinkedIn,Neutral,#great,27,Christopher Burnett,724
2024-03-31,LinkedIn,Neutral,#awesome,34,Erin Rivera,773
2024-05-19,Twitter,Negative,product,1,Thomas Gardner,671
2024-05-17,Twitter,Neutral,service,27,Adam Herrera,991
2024-01-30,Facebook,Neutral,#good,25,Lisa Hart,417
2024-05-15,Instagram,Negative,#great,3,Troy Thomas,692
2024-03-09,Facebook,Positive,experience,80,Sabrina Gutierrez,134
2024-04-28,Twitter,Positive,#terrible,69,Dakota Young,349
2024-04-21,Instagram,Neutral,#bad,87,John Arellano,598
2024-03-04,Instagram,Positive,feedback,10,Linda Dillon,680
2024-01-16,Instagram,Neutral,#bad,76,Anthony Moore,157
2024-03-27,Instagram,Negative,service,52,Justin Galloway,10
2024-05-17,LinkedIn,Positive,experience,16,Jane Warner,796
2024-02-23,Twitter,Positive,#okay,85,Jackie Burns,372
2024-01-25,Facebook,Negative,service,78,Gordon Greer,723
2024-02-16,Facebook,Positive,#terrible,28,Randy Lewis,190
2024-01-11,Instagram,Neutral,#terrible,59,Michael Thompson,973
2024-03-24,LinkedIn,Negative,feedback,20,Nicole Willis MD,798
2024-01-15,LinkedIn,Negative,#bad,81,Elizabeth Palmer,983
2024-01-09,Facebook,Positive,#awesome,17,Anthony Anderson,667
2024-04-15,Twitter,Positive,product,77,Mary Lopez,376
2024-01-21,LinkedIn,Positive,service,93,Jennifer Anthony,953
2024-02-25,Facebook,Neutral,#awesome,2,Andrew Hester,337
2024-04-11,Facebook,Neutral,service,49,Crystal Hall,424
2024-03-23,Facebook,Positive,#bad,89,Dennis Mata,485
2024-03-31,LinkedIn,Negative,#good,64,Dale Davis,80
2024-03-03,LinkedIn,Negative,#okay,89,Kristi Olson,526
2024-01-27,Instagram,Negative,service,49,Melissa Dean,195
2024-04-12,Facebook,Neutral,#awesome,85,Laura Barton,797
2024-02-12,LinkedIn,Positive,#good,94,Jimmy Young,606
2024-03-08,Twitter,Positive,#good,96,Dennis Buckley,48
2024-02-27,Facebook,Neutral,#bad,8,Amanda Park,586
2024-05-07,Facebook,Neutral,service,73,Michael Hunt,475
2024-03-07,Facebook,Neutral,#bad,39,Chad Bond,970
2024-03-10,Facebook,Neutral,#terrible,59,Sherry Foley,123
2024-05-04,Instagram,Neutral,#bad,76,Eric Robinson,789
2024-04-27,Instagram,Neutral,#bad,62,Beth Shaw MD,560
2024-02-18,LinkedIn,Positive,#good,27,April Rogers,761
2024-05-03,Twitter,Negative,#awesome,86,Heidi Estrada,419
2024-04-27,Facebook,Neutral,#terrible,69,Kelly Meadows,837
2024-03-28,Twitter,Neutral,#okay,83,Christopher Ferguson,159
2024-05-22,Instagram,Positive,feedback,90,Alan Drake,124
2024-01-27,Instagram,Negative,#great,22,Maria Wood,703
2024-01-09,Facebook,Positive,experience,91,Stephanie Barrett,195
2024-02-11,Facebook,Neutral,#terrible,75,Susan Doyle,792
2024-05-21,Facebook,Positive,experience,23,Michael Washington,692
2024-02-25,Instagram,Negative,#great,85,Jorge Murillo,700
2024-03-22,Facebook,Neutral,experience,95,William Merritt,205
2024-01-04,LinkedIn,Positive,#terrible,74,Michael Wong,404
2024-03-17,LinkedIn,Neutral,experience,87,Brandon Lamb,549
2024-05-12,Facebook,Positive,#awesome,31,Stephen Coleman,57
2024-03-29,Instagram,Positive,#okay,45,John Jones,827
2024-02-10,Twitter,Neutral,service,32,Colleen Webb,238
2024-02-02,Instagram,Neutral,#great,23,Dr. Emily Weiss DVM,543
2024-01-04,Instagram,Positive,product,48,Jessica Davidson,664
2024-01-03,LinkedIn,Neutral,#awesome,8,Donald Hayes,406
2024-01-30,Instagram,Positive,#terrible,58,Patricia Hansen,774
2024-04-13,Instagram,Positive,#okay,59,Jackie Bender,241
2024-02-17,Instagram,Positive,#okay,71,Stacy Allen,521
2024-05-11,Instagram,Positive,#great,32,Amber Floyd,401
2024-04-30,LinkedIn,Positive,#bad,2,Brianna Johnson,987
2024-04-22,Twitter,Positive,feedback,98,Jessica Lee,645
2024-03-11,Instagram,Negative,#great,49,Andrew Clark,665
2024-05-01,Twitter,Positive,#great,52,Donald Campbell,581
2024-04-22,Instagram,Negative,service,57,Nicholas Huff PhD,783
2024-04-11,Instagram,Positive,#awesome,73,Lacey Hawkins,995
2024-05-18,Facebook,Negative,#terrible,20,Jacob Morgan,397
2024-03-11,Instagram,Positive,#great,55,Cassandra Barnett,740
2024-02-24,Twitter,Neutral,service,39,Breanna Smith,517
2024-05-08,LinkedIn,Positive,experience,12,Joseph Thomas,763
2024-03-03,Facebook,Positive,feedback,41,Douglas Williams,687
2024-01-12,Instagram,Positive,service,20,Erin Mckee,654
2024-04-21,Facebook,Positive,#okay,19,Andrea Garcia,725
2024-03-16,Twitter,Negative,service,2,Crystal Johnson,327
2024-03-13,Facebook,Negative,#bad,13,Wayne Conner,506
2024-02-20,LinkedIn,Negative,#okay,7,Jennifer Dunn,256
2024-01-08,Twitter,Positive,experience,37,Desiree Huynh,870
2024-05-17,Instagram,Negative,#great,41,Marvin Scott,924
2024-01-01,Facebook,Neutral,feedback,72,Zachary Reid,226
2024-01-06,Facebook,Negative,#bad,29,Deborah Morgan,358
2024-01-19,Twitter,Negative,#great,25,Traci Brown,821
2024-05-13,Facebook,Neutral,#awesome,5,Mary Mccarthy,328
2024-01-06,Instagram,Negative,#bad,61,Jessica Fox,201
2024-05-05,Twitter,Neutral,service,23,Marco Garza,279
2024-04-01,Twitter,Negative,service,80,Kelly Baldwin,489
2024-05-24,Twitter,Positive,product,86,Cole Petty,619
2024-02-21,Twitter,Negative,#bad,79,Brianna Hicks,851
2024-02-12,Facebook,Negative,feedback,59,Kimberly Hernandez,198
2024-05-19,Facebook,Positive,feedback,21,Paul Jimenez,521
2024-05-06,LinkedIn,Neutral,#okay,64,Diane Mendez,297
2024-05-13,LinkedIn,Positive,#okay,62,Phillip Morales,821
2024-01-13,Twitter,Negative,feedback,96,Marco Smith,273
2024-05-24,Instagram,Negative,#bad,86,Joshua Walsh,725
2024-05-06,LinkedIn,Positive,feedback,63,Diane Washington,231
2024-01-16,Instagram,Negative,#okay,31,Desiree Oneill,332
2024-02-03,Instagram,Negative,#okay,17,Christopher Jacobs,980
2024-03-19,LinkedIn,Positive,feedback,97,Eric Tran,783
2024-03-06,Instagram,Negative,feedback,8,April Gross,110
2024-01-15,LinkedIn,Negative,#bad,68,Teresa Wilson,392
2024-04-08,Twitter,Positive,product,26,Nathaniel Santos,609
2024-05-15,Instagram,Neutral,product,11,Katherine Thomas,73
2024-02-22,Instagram,Positive,#okay,48,Michael Wu,51
2024-03-18,LinkedIn,Positive,service,35,Jose Waters,282
2024-02-18,Instagram,Positive,#terrible,6,Joseph Ramirez,568
2024-03-01,Instagram,Positive,#terrible,78,Leah Yu,289
2024-05-13,Twitter,Negative,#okay,32,Jeffrey Green,1000
2024-03-26,Twitter,Neutral,#terrible,27,Dylan Davidson,217
2024-02-13,Instagram,Negative,#okay,42,Derek Guerrero,553
2024-05-02,Instagram,Neutral,service,61,Kristin Dean,39
2024-01-02,Facebook,Negative,#great,28,Michael Long,732
2024-01-15,Facebook,Negative,service,25,Cindy Cruz,86
2024-01-14,Instagram,Neutral,#okay,96,Amber Hughes,954
2024-05-22,Facebook,Neutral,product,43,Jennifer Cooley,490
2024-03-12,Instagram,Negative,#terrible,51,Rachael Hunter,184
2024-02-12,Twitter,Negative,#good,76,Mary Boone,986
2024-03-28,Twitter,Neutral,#good,2,Ian Thomas,636
2024-04-12,LinkedIn,Positive,#awesome,4,Anthony Brennan,762
2024-02-07,Facebook,Positive,#terrible,50,Andrew Dawson,911
2024-04-12,LinkedIn,Neutral,feedback,36,Jeffrey Murray,54
2024-02-09,Facebook,Neutral,feedback,76,Thomas Barnett,396
2024-04-07,Facebook,Positive,#bad,100,Ms. Michelle Collier,712
2024-01-14,LinkedIn,Positive,product,80,Oscar Ellis Jr.,966
2024-05-01,Instagram,Positive,feedback,78,Sierra Smith,850
2024-02-29,LinkedIn,Negative,experience,71,James Maddox,353
2024-01-07,Instagram,Negative,#awesome,22,Michael Garcia,489
2024-03-06,LinkedIn,Neutral,experience,40,William Hayes,470
2024-04-18,Facebook,Positive,product,75,Jeremiah Manning,963
2024-03-30,LinkedIn,Negative,experience,26,Anna Cook,871
2024-03-27,Instagram,Negative,#terrible,20,Adam Brown,801
2024-05-17,LinkedIn,Positive,#bad,25,Kimberly Reid,822
2024-02-04,Facebook,Neutral,feedback,17,Lori Sherman,707
2024-03-20,Twitter,Neutral,#terrible,9,Andrew Bell,488
2024-03-27,LinkedIn,Negative,#awesome,8,Brooke Chambers,71
2024-05-10,Instagram,Negative,#bad,6,Sarah Reed,225
2024-04-13,LinkedIn,Neutral,service,27,Latoya Arnold,875
2024-04-04,Twitter,Positive,#great,4,Micheal Fuentes,294
2024-05-23,Facebook,Positive,#okay,78,Natalie Howard,884
2024-03-17,LinkedIn,Positive,#good,13,Jennifer Day,199
2024-03-29,Twitter,Neutral,#good,32,David Santos,55
2024-02-03,Twitter,Neutral,#great,85,Timothy Armstrong,895
2024-03-11,Facebook,Neutral,#okay,28,Tiffany Green,654
2024-03-19,Instagram,Positive,service,85,Cody Osborn,98
2024-02-27,Twitter,Negative,experience,31,Barbara Whitehead,395
2024-02-25,Twitter,Positive,#awesome,17,Heather King,153
2024-03-10,Twitter,Neutral,#terrible,88,Christopher Smith,852
2024-04-28,Twitter,Positive,#awesome,31,Cynthia Fisher,786
2024-03-30,LinkedIn,Positive,service,55,Wendy Daniel,351
2024-01-20,Facebook,Negative,#terrible,50,Clayton Williams,84
2024-01-14,LinkedIn,Neutral,#good,20,Jacob Long,960
2024-01-17,LinkedIn,Neutral,product,24,Nathaniel Ramos,976
2024-01-01,Twitter,Positive,#okay,80,Cheryl Pierce,189
2024-03-25,Instagram,Positive,service,19,Franklin Butler,186
2024-02-05,LinkedIn,Positive,#okay,47,Dr. Jennifer Murphy,743
2024-02-17,Facebook,Positive,#good,81,Mary Parker,792
2024-03-21,Instagram,Positive,feedback,82,Tyrone Newton,263
2024-02-25,LinkedIn,Neutral,experience,25,Michael Wheeler,218
2024-01-08,Instagram,Neutral,#awesome,40,Sean Phillips,801
2024-04-15,Instagram,Positive,#terrible,63,Olivia Mercado,590
2024-02-14,LinkedIn,Neutral,#good,73,Holly Escobar,981
2024-03-27,Instagram,Negative,service,10,Anthony Franklin,951
2024-03-03,LinkedIn,Negative,#okay,88,Casey Mccormick,658
2024-03-09,LinkedIn,Positive,#okay,29,Steven Lamb,730
2024-03-30,Facebook,Neutral,#terrible,80,Vanessa Johnston,219
2024-01-06,Twitter,Negative,#okay,21,Julie Campbell,987
2024-02-21,Twitter,Negative,#okay,72,James Burton,977
2024-03-14,LinkedIn,Negative,#bad,57,Dale Rivera,158
2024-05-13,Twitter,Neutral,#great,28,Geoffrey Gamble,67
2024-04-14,LinkedIn,Positive,#good,32,Maxwell Sims,845
2024-01-28,Facebook,Positive,product,63,Dr. Eric Williams,96
2024-01-29,Facebook,Neutral,#terrible,45,Susan Wilson,89
2024-02-28,Twitter,Neutral,product,75,Christopher Watson,945
2024-05-08,Facebook,Negative,experience,46,Sandra Stein MD,499
2024-03-08,Facebook,Positive,#good,5,Jordan Joseph,157
2024-02-20,LinkedIn,Positive,#good,71,Beverly Griffin,36
2024-01-30,Instagram,Positive,product,34,Timothy Frank,103
2024-03-29,LinkedIn,Positive,#bad,8,Joyce Lewis,625
2024-01-19,Instagram,Negative,#awesome,47,Allison Parker,186
2024-02-27,Facebook,Neutral,#great,49,Patrick Wolfe,811
2024-04-24,LinkedIn,Neutral,service,8,Timothy Murphy,595
2024-02-08,Instagram,Negative,service,29,David Burns,433
2024-04-07,Twitter,Neutral,#okay,29,Travis Oconnell,224
2024-04-20,Facebook,Neutral,experience,45,Allison Smith,741
2024-05-20,Facebook,Neutral,#okay,16,Jennifer Horton,931
2024-05-03,Twitter,Positive,#terrible,66,Elizabeth Mahoney,666
2024-01-07,LinkedIn,Neutral,#bad,62,Regina Flores,270
2024-05-03,LinkedIn,Neutral,#awesome,17,Nicole Cooper DVM,691
2024-03-27,Twitter,Negative,product,12,Valerie Frazier,610
2024-01-29,Instagram,Neutral,#good,83,Michael Nelson,800
2024-05-22,Twitter,Negative,experience,65,Barry Martinez,216
2024-03-31,LinkedIn,Negative,#great,9,Alicia Grant,555
2024-05-21,Twitter,Positive,#okay,29,Michael Vasquez,524
2024-01-19,Twitter,Positive,feedback,48,Kathy Smith,713
2024-03-27,Facebook,Neutral,#good,15,Kellie Hess,539
2024-04-23,Facebook,Positive,feedback,28,Colleen Wall,874
2024-01-08,Facebook,Neutral,#bad,75,Ronnie King,594
2024-01-27,LinkedIn,Neutral,experience,67,Jeremy Washington,754
2024-01-22,Instagram,Negative,experience,54,Tara Herring,324
2024-04-21,Facebook,Neutral,#good,21,William Pace,475
2024-03-08,LinkedIn,Positive,service,17,Steven Silva,483
2024-05-24,Twitter,Neutral,#great,10,Sandra Hanson,666
2024-03-13,Instagram,Negative,#okay,91,Robert Cole,584
2024-01-13,Instagram,Neutral,experience,61,Robert Mercer,81
2024-05-24,LinkedIn,Positive,feedback,59,Brenda Becker,702
2024-02-12,Twitter,Negative,#bad,26,Mr. Steven Zamora,129
2024-01-27,Facebook,Positive,service,60,Logan Andrews,137
2024-04-10,Twitter,Neutral,#good,96,David Baldwin,546
2024-01-28,LinkedIn,Neutral,#great,79,William Smith,74
2024-05-06,Facebook,Positive,#awesome,83,James Davis,592
2024-05-21,Facebook,Neutral,experience,22,William Ford,891
2024-03-21,LinkedIn,Positive,#great,15,Chad Herrera,100
2024-05-14,LinkedIn,Positive,product,21,Desiree Jackson,125
2024-01-04,LinkedIn,Positive,feedback,43,Matthew York,116
2024-04-26,Facebook,Negative,#great,3,Emily Morgan,447
2024-02-12,Twitter,Positive,#great,83,David Clark,834
2024-04-08,Instagram,Neutral,#awesome,69,Lauren Burgess,80
2024-03-26,Twitter,Negative,#awesome,2,Cathy Young,569
2024-05-19,Instagram,Negative,#good,24,Robin Cooper,453
2024-02-18,Facebook,Neutral,product,66,Paul Griffin,825
2024-02-11,LinkedIn,Positive,service,85,Claudia Taylor,154
2024-04-04,Instagram,Negative,product,80,Donna Garza,327
2024-03-09,Facebook,Positive,#good,3,John Payne,829
2024-03-14,Facebook,Positive,experience,1,Bradley Ferguson,870
2024-01-27,Twitter,Neutral,#awesome,86,Zachary Harvey,962
2024-01-31,Twitter,Positive,#great,60,Courtney Nash,966
2024-04-17,LinkedIn,Negative,#good,25,Daniel Williams,625
2024-02-19,Facebook,Positive,#awesome,6,Charles Carpenter,704
2024-01-09,Twitter,Neutral,#bad,85,Danny Howard,143
2024-03-07,Instagram,Neutral,#good,22,Hailey Harris,511
2024-01-18,Twitter,Neutral,#awesome,68,Jose Berry,68
2024-01-09,LinkedIn,Neutral,#good,76,Taylor Ramirez,222
2024-04-07,Instagram,Neutral,#awesome,80,Carolyn Baker,954
2024-01-17,Instagram,Negative,feedback,29,Emily Cooper,169
2024-03-14,Twitter,Neutral,#bad,32,Dylan Herring,28
2024-04-04,LinkedIn,Neutral,#great,62,Jaime Carlson,581
2024-02-07,Twitter,Neutral,feedback,21,Ms. Suzanne Griffin,913
2024-01-13,Facebook,Negative,feedback,2,Cindy Evans,793
2024-03-10,Facebook,Neutral,experience,83,Kelly Jimenez,750
2024-03-25,Facebook,Positive,experience,94,Michele Mitchell,41
2024-05-16,LinkedIn,Positive,feedback,28,Daniel Padilla,664
2024-03-21,Instagram,Neutral,service,86,Lorraine Sanchez,724
2024-04-23,LinkedIn,Positive,#awesome,73,John Massey,316
2024-01-25,Facebook,Negative,product,5,Amanda Garrett,504
2024-02-23,Instagram,Positive,#okay,83,Rachel Mcneil,550
2024-03-17,LinkedIn,Positive,product,92,Laura Chavez,335
2024-01-04,LinkedIn,Negative,feedback,18,Joel Shah,897
2024-01-11,Instagram,Neutral,#good,15,Joyce Gross,18
2024-05-16,LinkedIn,Neutral,#bad,88,Christopher Hayes,974
2024-03-19,Twitter,Neutral,#good,59,Chase Sellers,942
2024-03-29,LinkedIn,Positive,#bad,28,Jennifer Serrano,697
2024-03-07,Instagram,Positive,feedback,24,Susan Jones,48
2024-05-23,LinkedIn,Neutral,experience,78,Kristen Roberts,195
2024-01-31,Facebook,Neutral,#great,48,Andrew Kim,240
2024-01-23,Facebook,Positive,service,89,Brooke Acosta,556
2024-04-23,Twitter,Positive,#good,29,Jamie Coleman,418
2024-04-03,Instagram,Negative,#awesome,60,Scott Barton,891
2024-02-21,Twitter,Neutral,#bad,11,Luis Russell,395
2024-04-03,Facebook,Negative,#good,81,Joseph Cox,26
2024-01-31,Instagram,Positive,#okay,17,Kristina Morrison,576
2024-01-13,Instagram,Neutral,#terrible,27,Rachel Ferguson,539
2024-02-12,Facebook,Positive,#good,29,Lisa Sanchez,864
2024-05-14,Facebook,Neutral,feedback,5,Angel Lyons,898
2024-02-16,LinkedIn,Positive,service,11,Melissa Melendez,549
2024-03-11,Instagram,Neutral,#bad,99,Frederick Webb,398
2024-05-17,Instagram,Positive,#great,29,Craig Davis,342
2024-02-13,LinkedIn,Neutral,#good,82,Lindsey Green,220
2024-01-09,Twitter,Positive,#great,43,Stephanie Bond,358
2024-03-10,Instagram,Positive,#okay,2,Michelle Johnson,295
2024-01-20,Instagram,Negative,#good,85,Stephanie Cooper,78
2024-04-23,Facebook,Positive,#good,17,Jesse Woods,464
2024-04-27,Facebook,Neutral,#awesome,92,Warren Mills,876
2024-01-26,Instagram,Positive,service,9,Brett Brown,191
2024-03-08,LinkedIn,Positive,#okay,91,Christopher Holmes,840
2024-01-03,Instagram,Neutral,#terrible,62,Tyler Mcdonald,273
2024-05-21,Twitter,Positive,service,16,Michael Lee,310
2024-01-08,Instagram,Neutral,#great,63,Tiffany Jenkins,54
2024-03-31,Facebook,Positive,#awesome,94,Ryan Horton,755
2024-03-05,Facebook,Neutral,feedback,44,Diane Fernandez,41
2024-01-18,LinkedIn,Positive,#okay,29,Daniel Turner,366
2024-05-18,LinkedIn,Positive,#bad,87,Gabriel Garrett,478
2024-02-16,LinkedIn,Positive,feedback,81,Christopher Williams,235
2024-04-03,Twitter,Negative,product,62,Jessica Butler,871
2024-03-06,Facebook,Negative,#great,58,Michelle Rogers,20
2024-02-23,Facebook,Negative,#bad,60,Noah Payne,423
2024-04-09,Twitter,Neutral,service,59,Janice Knox,110
2024-05-03,Instagram,Negative,#good,56,Mr. Christian Smith,953
2024-03-23,LinkedIn,Positive,#awesome,20,Melissa Becker,99
2024-01-10,LinkedIn,Neutral,#bad,55,Larry Mays DVM,797
2024-03-01,Facebook,Positive,#okay,53,Bradley Collins,829
2024-01-21,LinkedIn,Negative,feedback,40,Jillian Booth,389
2024-05-13,LinkedIn,Negative,experience,46,Sarah Harrington,781
2024-05-21,Facebook,Negative,#bad,32,Linda Kennedy,472
2024-03-11,Facebook,Neutral,service,15,Jennifer Chandler,416
2024-03-29,Facebook,Neutral,#awesome,84,Lisa Campbell,507
2024-02-07,Instagram,Negative,#okay,31,Shawn Ramos,86
2024-03-03,Twitter,Positive,#awesome,31,James Roth,550
2024-04-11,Twitter,Negative,experience,93,Andrew Thompson,148
2024-04-30,Facebook,Neutral,product,75,Jeffrey Garcia,366
2024-04-07,Twitter,Positive,service,2,Michael Estrada,261
2024-04-17,Instagram,Neutral,feedback,64,Michael Williams,960
2024-02-18,Instagram,Neutral,#okay,75,Brett Murray,728
2024-01-11,Facebook,Negative,#okay,51,Maria Doyle,316
2024-04-08,LinkedIn,Positive,#okay,42,Mike Mathis,603
2024-01-29,LinkedIn,Negative,product,43,Jennifer Taylor,434
2024-01-11,Twitter,Neutral,service,22,Joshua Whitehead,727
2024-04-25,LinkedIn,Negative,#terrible,51,Noah Dunn DDS,911
2024-04-15,Facebook,Neutral,service,44,Paula Sanchez,80
2024-03-12,Instagram,Positive,#awesome,65,Martin Castillo,116
2024-02-10,Instagram,Neutral,#great,14,Andrea Johnston,569
2024-03-28,Twitter,Negative,#terrible,13,Nancy Warner,998
2024-03-13,LinkedIn,Negative,#terrible,26,Emily Todd,543
2024-04-30,Instagram,Negative,#awesome,14,Michelle Sanders,43
2024-05-17,Instagram,Neutral,#awesome,33,Mark Zimmerman,518
2024-01-23,Instagram,Negative,#great,80,Johnathan Rivas,941
2024-02-10,LinkedIn,Positive,#awesome,38,Morgan Miller MD,201
2024-01-29,Facebook,Negative,product,31,Benjamin Moore,660
2024-05-16,Instagram,Positive,service,61,Trevor Diaz,258
2024-04-28,Twitter,Positive,service,28,Aaron Ward,157
2024-02-17,Facebook,Negative,#bad,84,Catherine Woods,905
2024-05-08,Twitter,Positive,#bad,39,Joshua Blanchard,914
2024-05-05,Twitter,Negative,#bad,93,Michelle Johnson,196
2024-04-11,LinkedIn,Negative,product,56,Nicole Perry,985
2024-01-10,Facebook,Positive,#okay,73,Brittany Roberts,738
2024-02-14,Facebook,Neutral,service,49,Travis Santana,229
2024-01-16,LinkedIn,Positive,service,30,Autumn King,438
2024-02-10,LinkedIn,Neutral,experience,38,Jessica Garcia,540
2024-05-18,Facebook,Neutral,#bad,94,John Herrera,129
2024-03-14,Instagram,Neutral,#good,66,Laura Sullivan,483
2024-03-14,Twitter,Negative,#terrible,71,Lisa Mayo,577
2024-03-06,Instagram,Positive,feedback,93,Teresa Hamilton,773
2024-01-30,LinkedIn,Neutral,#bad,52,Rhonda Savage,101
2024-05-03,Instagram,Positive,#great,10,Stephanie Smith,158
2024-05-19,Instagram,Positive,#good,36,Ruben Williams,512
2024-04-19,Facebook,Negative,feedback,26,Adam Rice,125
2024-05-10,LinkedIn,Negative,#terrible,40,Brendan Love,898
2024-05-23,LinkedIn,Positive,service,100,Jack Hudson,868
2024-03-02,Instagram,Neutral,#bad,6,Regina Salinas,907
2024-04-16,LinkedIn,Positive,experience,58,Margaret Black,230
2024-05-13,Instagram,Neutral,#great,57,Joshua Hernandez,898
2024-04-13,LinkedIn,Negative,#good,81,Daniel Long,442
2024-02-23,LinkedIn,Neutral,#okay,38,Jacqueline Combs,947
2024-02-04,Twitter,Neutral,feedback,36,Heather Miller,62
2024-05-23,Twitter,Positive,#good,38,Evelyn Shepard,468
2024-05-05,Instagram,Neutral,#terrible,73,Vickie Mcmahon,886
2024-04-26,LinkedIn,Neutral,experience,76,Daniel Nunez,449
2024-05-04,Twitter,Negative,product,42,Erik Baldwin,693
2024-02-06,Instagram,Neutral,#awesome,45,Connie Crosby,903
2024-03-24,Facebook,Positive,#good,97,Ronald Clark,448
2024-01-19,Facebook,Neutral,#terrible,74,David Howard,206
2024-05-03,Facebook,Neutral,service,80,Michael Atkinson,277
2024-03-13,Twitter,Negative,feedback,51,Vincent Graves,893
2024-01-20,Facebook,Negative,service,11,Kevin Harris,360
2024-03-27,Instagram,Negative,service,25,Mr. Joseph Villarreal Jr.,253
2024-04-03,LinkedIn,Neutral,#awesome,60,Ryan Austin,897
2024-01-18,Twitter,Negative,#great,36,Julie Rhodes,639
2024-05-10,Instagram,Positive,experience,63,Matthew Howard,859
2024-05-15,LinkedIn,Neutral,#awesome,24,Robert Davis,765
2024-03-30,Facebook,Negative,#terrible,35,Victoria Freeman,200
2024-01-01,Instagram,Neutral,#bad,89,Christopher Wright,551
2024-05-16,Instagram,Positive,#terrible,33,Randy Cantu,908
2024-04-21,Instagram,Negative,#awesome,92,Sandy Hendricks,58
2024-04-01,LinkedIn,Positive,product,63,Antonio Frye,400
2024-01-05,Instagram,Positive,experience,86,Terry Mueller,789
2024-05-15,LinkedIn,Positive,service,63,Susan Sanders,931
2024-04-10,Instagram,Neutral,#great,73,Timothy Diaz,712
2024-04-21,Twitter,Positive,#good,94,Barbara Cox,872
2024-05-06,Twitter,Positive,#good,46,Nichole Davis,269
2024-05-02,Twitter,Negative,#bad,35,Christine Maxwell,21
2024-04-11,LinkedIn,Neutral,experience,15,Andrew Davidson,870
2024-02-25,Twitter,Neutral,#awesome,94,Melissa Cook,645
2024-02-24,LinkedIn,Negative,feedback,3,Edward Sullivan,922
2024-03-29,Facebook,Negative,feedback,98,Dr. Jennifer Hunter MD,31
2024-02-21,Facebook,Positive,service,81,Sean King,410
